Source,Type,Target,Weight
1-й собеседник,Undirected,2-й собеседник,1
1-й собеседник,Undirected,Городовой,1
1-й собеседник,Undirected,Дети,1
1-й собеседник,Undirected,Женщина с ведрами,1
1-й собеседник,Undirected,Зимний голос,1
1-й собеседник,Undirected,Мальчики,1
1-й собеседник,Undirected,Некто,1
1-й собеседник,Undirected,Нищий,1
1-й собеседник,Undirected,Отставший спутник,1
1-й собеседник,Undirected,Пристав,1
1-й собеседник,Undirected,Прохожие,1
1-й собеседник,Undirected,Пьяница,1
1-й собеседник,Undirected,Славодей,1
1-й собеседник,Undirected,Снегей,1
1-й собеседник,Undirected,Снежимочка,1
1-й собеседник,Undirected,Старуха,1
1-й собеседник,Undirected,Ученый,1
1-й собеседник,Undirected,Ховун,1
2-й собеседник,Undirected,Городовой,1
2-й собеседник,Undirected,Дети,1
2-й собеседник,Undirected,Женщина с ведрами,1
2-й собеседник,Undirected,Зимний голос,1
2-й собеседник,Undirected,Мальчики,1
2-й собеседник,Undirected,Некто,1
2-й собеседник,Undirected,Нищий,1
2-й собеседник,Undirected,Отставший спутник,1
2-й собеседник,Undirected,Пристав,1
2-й собеседник,Undirected,Прохожие,1
2-й собеседник,Undirected,Пьяница,1
2-й собеседник,Undirected,Славодей,1
2-й собеседник,Undirected,Снегей,1
2-й собеседник,Undirected,Снежимочка,1
2-й собеседник,Undirected,Старуха,1
2-й собеседник,Undirected,Ученый,1
2-й собеседник,Undirected,Ховун,1
2-й человек,Undirected,Белый боярин,1
2-й человек,Undirected,Белый мужик,1
2-й человек,Undirected,Березомир,1
2-й человек,Undirected,Бес,1
2-й человек,Undirected,Бесеныш,1
2-й человек,Undirected,Бесок,1
2-й человек,Undirected,Вещежонка,1
2-й человек,Undirected,Ворон,1
2-й человек,Undirected,Вселенничи,1
2-й человек,Undirected,Древолюд,1
2-й человек,Undirected,Заяц,1
2-й человек,Undirected,Липовый парень,1
2-й человек,Undirected,Липяное бывьмо,1
2-й человек,Undirected,Мамки,1
2-й человек,Undirected,Молодой рабочий,1
2-й человек,Undirected,Молчащие сестры,1
2-й человек,Undirected,Морозный тятька,1
2-й человек,Undirected,Некий глас,1
2-й человек,Undirected,Немини,1
2-й человек,Undirected,Няня-леший,1
2-й человек,Undirected,Рында,1
2-й человек,Undirected,Сказчич-Морочич,1
2-й человек,Undirected,Слепини,1
2-й человек,Undirected,Смехини,1
2-й человек,Undirected,Снегомужье,1
2-й человек,Undirected,Снегун,1
2-й человек,Undirected,Снегчие,1
2-й человек,Undirected,Снежак,1
2-й человек,Undirected,Снежачиха,1
2-й человек,Undirected,Снежные мамки,1
2-й человек,Undirected,Снезини,1
